Project_ID,Task_ID,Owner,Planned_Duration,Actual_Duration,Status,Start_Date,End_Date,Priority,Dependency
PROJ_101,T1000,Internal,8,12,In Progress,2024-01-01,2024-01-09,Medium,None
PROJ_101,T1001,Vendor X,15,15,Completed,2024-01-04,2024-01-19,High,None
PROJ_101,T1002,Team B,12,14,Blocked,2024-01-06,2024-01-18,High,None
PROJ_101,T1003,Team A,10,14,Completed,2024-01-08,2024-01-18,Medium,None
PROJ_101,T1004,Team C,16,23,Not Started,2024-01-12,2024-01-28,Medium,None
PROJ_101,T1005,Team A,9,9,Completed,2024-01-15,2024-01-24,High,T1003
PROJ_101,T1006,Internal,6,6,In Progress,2024-01-17,2024-01-23,High,None
PROJ_101,T1007,Team C,16,20,Completed,2024-01-20,2024-02-05,Low,None
PROJ_101,T1008,Team B,6,13,Completed,2024-01-24,2024-01-30,Medium,T1001
PROJ_101,T1009,Vendor X,14,21,Blocked,2024-01-26,2024-02-09,High,T1007
PROJ_101,T1010,Team A,6,10,Completed,2024-01-27,2024-02-02,High,None
PROJ_101,T1011,Team A,5,5,Blocked,2024-01-28,2024-02-02,High,None
PROJ_101,T1012,Team C,5,5,Completed,2024-01-31,2024-02-05,High,None
PROJ_101,T1013,Team B,11,11,Completed,2024-02-04,2024-02-15,High,None
PROJ_101,T1014,Team C,9,9,Completed,2024-02-08,2024-02-17,Medium,None
PROJ_101,T1015,Team C,7,7,Completed,2024-02-10,2024-02-17,Medium,None
PROJ_102,T1016,Vendor X,19,19,In Progress,2024-01-01,2024-01-20,Low,None
PROJ_102,T1017,Team C,17,19,Blocked,2024-01-04,2024-01-21,Medium,None
PROJ_102,T1018,Vendor X,13,17,Completed,2024-01-06,2024-01-19,High,None
PROJ_102,T1019,Team A,16,16,In Progress,2024-01-09,2024-01-25,High,None
PROJ_102,T1020,Team A,11,18,Completed,2024-01-12,2024-01-23,Medium,None
PROJ_102,T1021,Team A,12,12,In Progress,2024-01-16,2024-01-28,Medium,None
PROJ_102,T1022,Internal,18,18,Completed,2024-01-20,2024-02-07,High,None
PROJ_102,T1023,Internal,6,8,Not Started,2024-01-22,2024-01-28,Medium,None
PROJ_102,T1024,Vendor X,9,11,Completed,2024-01-24,2024-02-02,High,None
PROJ_102,T1025,Team C,10,14,Completed,2024-01-27,2024-02-06,Low,T1015
PROJ_102,T1026,Team C,15,22,Completed,2024-01-31,2024-02-15,Medium,None
PROJ_102,T1027,Vendor X,7,7,In Progress,2024-02-02,2024-02-09,Low,None
PROJ_103,T1028,Team A,5,5,In Progress,2024-01-01,2024-01-06,High,None
PROJ_103,T1029,Team A,14,14,Completed,2024-01-05,2024-01-19,High,T1015
PROJ_103,T1030,Team A,9,9,In Progress,2024-01-06,2024-01-15,Medium,T1015
PROJ_103,T1031,Vendor X,12,19,Completed,2024-01-10,2024-01-22,High,T1007
PROJ_103,T1032,Team A,8,15,Not Started,2024-01-14,2024-01-22,Medium,None
PROJ_103,T1033,Internal,6,6,Completed,2024-01-16,2024-01-22,High,None
PROJ_103,T1034,Team C,9,11,In Progress,2024-01-18,2024-01-27,Medium,None
PROJ_103,T1035,Internal,7,14,In Progress,2024-01-21,2024-01-28,Medium,None
PROJ_103,T1036,Team A,9,16,Completed,2024-01-23,2024-02-01,High,None
PROJ_103,T1037,Internal,5,5,Blocked,2024-01-27,2024-02-01,High,None
PROJ_103,T1038,Internal,9,13,Completed,2024-01-28,2024-02-06,Medium,None
PROJ_103,T1039,Team B,9,9,In Progress,2024-01-29,2024-02-07,Medium,T1030
PROJ_103,T1040,Team B,12,19,Not Started,2024-02-01,2024-02-13,High,None
PROJ_103,T1041,Internal,5,5,Completed,2024-02-05,2024-02-10,High,T1025
PROJ_103,T1042,Team A,12,16,Not Started,2024-02-06,2024-02-18,Medium,None
PROJ_103,T1043,Vendor X,18,25,Completed,2024-02-10,2024-02-28,Medium,None
PROJ_103,T1044,Internal,7,7,In Progress,2024-02-12,2024-02-19,Low,None
PROJ_104,T1045,Internal,19,26,Completed,2024-01-01,2024-01-20,Medium,T1043
PROJ_104,T1046,Vendor X,8,15,Not Started,2024-01-04,2024-01-12,Medium,None
